date,total_price,seats,usage,term_months,add_on_count,discount_expired,days_to_renewal
2025-01-01,2097.4,47,758,12,0,0,14
2025-01-31,2027.75,43,813,1,1,0,9
2025-03-02,2051.92,48,737,3,0,0,75
2025-04-01,2131.69,51,751,3,0,0,78
2025-05-01,2063.06,42,776,1,1,0,42
2025-05-31,2233.06,50,750,6,1,0,18
2025-06-30,2169.94,52,768,6,0,0,75
2025-07-30,2466.41,51,735,3,3,0,73
2025-08-29,3625.52,47,839,12,2,0,43
2025-09-28,2406.71,45,740,6,3,0,48
2025-10-28,2014.9,46,875,1,0,1,70
2025-11-27,2479.92,47,758,12,3,0,10
2025-12-27,2229.1,43,915,6,2,0,49
2026-01-26,2113.86,51,836,1,0,0,39
2026-02-25,1615.98,52,736,1,2,0,87
2026-03-27,2392.5,49,792,12,2,0,7
2026-04-26,2360.91,47,763,1,3,0,12
2026-05-26,2454.69,46,753,3,3,0,55
2026-06-25,2449.91,49,740,3,3,0,56
2026-07-25,3961.68,44,830,6,3,0,50
2026-08-24,2087.11,45,758,1,1,0,24
2026-09-23,2095.11,45,723,12,1,0,38
2026-10-23,2262.48,44,827,6,2,0,21
2026-11-22,2442.78,50,878,1,3,0,76
2026-12-22,2408.07,48,820,1,3,1,86
2027-01-21,2307.59,45,737,3,3,0,25
2027-02-20,2062.2,51,733,1,0,0,77
2027-03-22,1432.83,43,813,1,0,0,31
2027-04-21,2326.46,46,808,6,3,0,20
2027-05-21,2375.74,49,839,12,3,0,44
2027-06-20,2266.62,43,911,6,2,0,66
2027-07-20,3979.95,44,852,1,1,0,72
2027-08-19,1958.94,42,914,6,0,0,38
2027-09-18,2187.69,44,811,3,2,0,86
2027-10-18,2132.82,45,781,12,1,0,30
2027-11-17,2041.56,47,907,1,0,0,40
